obs_id,minute,hours_emersed,date,time_sample,region,site,substrate,replicate,upperlimit,treatment,laser_mllw,height_above_mllw,max_tide_height,max_tide_height_m,x_max_tide_height,tide_site
213,620.0535714285714,10.33422619047619,june 19 2012,1,outer coast,CrabInnTofino,bench,8,1.65,2,4.625902215,2.975902215,418.1856,4.181856,0.711622355,tofino
214,595.3035714285714,9.92172619047619,june 19 2012,1,outer coast,CrabInnTofino,bench,9,1.74,2,4.625902215,2.885902215,418.1856,4.181856,0.69010081,tofino
215,606.8571428571429,10.114285714285716,june 19 2012,1,outer coast,CrabInnTofino,bench,10,1.7,2,4.625902215,2.925902215,418.1856,4.181856,0.699665941,tofino
216,600.9464285714286,10.01577380952381,june 19 2012,1,outer coast,CrabInnTofino,bench,11,1.72,2,4.625902215,2.905902215,418.1856,4.181856,0.694883376,tofino
217,612.7857142857143,10.213095238095239,june 19 2012,1,outer coast,CrabInnTofino,bench,12,1.68,2,4.625902215,2.945902215,418.1856,4.181856,0.704448507,tofino
218,604.3392857142857,10.072321428571428,june 19 2012,1,outer coast,MotelTofino,cobble,1,0.82,2,3.736834552,2.916834552,418.1856,4.181856,0.697497607,tofino
219,615.3214285714286,10.255357142857143,june 19 2012,1,outer coast,MotelTofino,cobble,2,0.78,1,3.736834552,2.956834552,418.1856,4.181856,0.707062738,tofino
22,238.4418604651163,3.9740310077519383,june 21 2012,1,gulfislands,SheepfarmGI2,bench,10,1.12,2,2.341210911,1.221210911,361.4928,3.614928,0.337824408,fulford
220,625.2678571428571,10.421130952380953,june 19 2012,1,outer coast,MotelTofino,cobble,3,0.74,2,3.736834552,2.996834552,418.1856,4.181856,0.716627869,tofino
221,641.2321428571429,10.687202380952382,june 19 2012,1,outer coast,MotelTofino,cobble,4,0.68,1,3.736834552,3.056834552,418.1856,4.181856,0.730975565,tofino
222,658.25,10.970833333333333,june 19 2012,1,outer coast,MotelTofino,cobble,5,0.62,1,3.736834552,3.116834552,418.1856,4.181856,0.745323261,tofino
223,674.9821428571429,11.249702380952382,june 19 2012,1,outer coast,MotelTofino,cobble,6,0.56,2,3.736834552,3.176834552,418.1856,4.181856,0.759670958,tofino
224,658.25,10.970833333333333,june 19 2012,1,outer coast,MotelTofino,cobble,7,0.62,2,3.736834552,3.116834552,418.1856,4.181856,0.745323261,tofino
225,663.5357142857143,11.058928571428572,june 19 2012,1,outer coast,MotelTofino,cobble,8,0.6,2,3.736834552,3.136834552,418.1856,4.181856,0.750105827,tofino
226,635.7142857142857,10.595238095238095,june 19 2012,1,outer coast,MotelTofino,cobble,9,0.7,1,3.736834552,3.036834552,418.1856,4.181856,0.726193,tofino
227,620.2142857142857,10.33690476190476,june 19 2012,1,outer coast,MotelTofino,cobble,10,0.76,1,3.736834552,2.976834552,418.1856,4.181856,0.711845303,tofino
228,625.2678571428571,10.421130952380953,june 19 2012,1,outer coast,MotelTofino,cobble,11,0.74,2,3.736834552,2.996834552,418.1856,4.181856,0.716627869,tofino
229,625.2678571428571,10.421130952380953,june 19 2012,1,outer coast,MotelTofino,cobble,12,0.74,1,3.736834552,2.996834552,418.1856,4.181856,0.716627869,tofino
23,311.9622641509434,5.19937106918239,june 21 2012,1,gulfislands,SheepfarmGI2,bench,11,0.6,2,2.341210911,1.741210911,361.4928,3.614928,0.481672363,fulford
230,635.7142857142857,10.595238095238095,june 19 2012,1,outer coast,MotelTofino,bench,1,0.7,2,3.736834552,3.036834552,418.1856,4.181856,0.726193,tofino
231,658.25,10.970833333333333,june 19 2012,1,outer coast,MotelTofino,bench,2,0.62,1,3.736834552,3.116834552,418.1856,4.181856,0.745323261,tofino
232,689.0535714285714,11.48422619047619,june 19 2012,1,outer coast,MotelTofino,bench,3,0.5,2,3.736834552,3.236834552,418.1856,4.181856,0.774018654,tofino
233,695,11.583333333333334,june 19 2012,1,outer coast,MotelTofino,boulder,1,0.48,2,3.736834552,3.256834552,418.1856,4.181856,0.778801219,tofino
234,689.0535714285714,11.48422619047619,june 19 2012,1,outer coast,MotelTofino,bench,4,0.5,2,3.736834552,3.236834552,418.1856,4.181856,0.774018654,tofino
235,674.9821428571429,11.249702380952382,june 19 2012,1,outer coast,MotelTofino,bench,5,0.56,1,3.736834552,3.176834552,418.1856,4.181856,0.759670958,tofino
236,704.1428571428571,11.735714285714286,june 19 2012,1,outer coast,MotelTofino,bench,6,0.445,2,3.736834552,3.291834552,418.1856,4.181856,0.787170709,tofino
237,635.7142857142857,10.595238095238095,june 19 2012,1,outer coast,MotelTofino,boulder,2,0.7,2,3.736834552,3.036834552,418.1856,4.181856,0.726193,tofino
